0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,target
151.9198,204.77638,1265.8718,339.7836,52.41317,2092329.6,32.658024,5.722238,8783.01,0.1403365433216095,143.40923,0.16671155393123627,0.27917373180389404,0.2652306,0.10542482137680054,0.28424054,587.91876,57.332027,1.4751916,0.15211671590805054,0.1734590083360672,87.0,0.0,0.43203583,132.0,0.16879181563854218,3.0,0.18391094,2.7075508,-6.896565,-0.3389447,2.0,0.0,2.0,29.444614,1658.281,0.009999999776482582,11.641037,89.0,69.0,776.9932,413.25473,297.19852,78.84894,4.4771028,0.0,48653.934,65.850784,7.4813056,1.0
181.98862,107.012726,1025.8726,367.25232,134.26903,208215.8,40.98837,13.982745,1550.3647,0.3151357173919678,105.22176,0.21191751956939697,0.2622317373752594,0.4557374,0.14903758466243744,0.7728491,268.36383,62.002895,1.8792616,0.13285064697265625,0.27898257970809937,75.0,0.0,0.467517,351.0,0.0026459472719579935,9.0,0.6613444,2.7321687,-3.781389,-0.5993082,2.0,0.0,2.0,30.34237,2343.8728,0.009999999776482582,14.280402,78.0,55.0,690.4119,299.39084,299.6963,123.08678,1.8693415,0.0,14101.447,65.78775,7.517801,1.0
71.54646,23.96943,1093.2032,310.58698,122.38038,127257.81,42.60009,5.174444,1159.3662,0.09658533334732056,79.66277,0.2358866035938263,0.24976091086864471,0.33289173,0.260963499546051,0.20783752,227.46538,15.50018,0.9870775,0.21469295024871826,0.22241775691509247,87.0,0.0,0.73067766,132.0,0.8913626670837402,3.0,0.28633556,2.9957044,-2.7540834,-0.49418727,1.0,0.0,1.0,9.841635,537.6029,0.009999999776482582,12.866884,89.0,69.0,1554.5907,374.60883,171.72508,103.94259,4.6414256,0.0,29817.988,65.85536,7.218602,1.0
17.79208,80.2647,177.5106,292.50916,62.594555,269366.3,39.924404,7.2963367,31790.05,0.10940338671207428,86.98851,0.4648315906524658,0.7062445282936096,0.8089555,0.17441734671592712,0.7259585,11.90669,10.686271,0.31638265,0.29311078786849976,0.3970208168029785,69.0,0.0,1.0000759,221.0,0.22584614157676697,5.0,-0.46648094,1.6578387,-2.0337236,-0.50969446,1.0,0.0,1.0,14.825186,890.87775,0.0,121.28969,82.0,50.0,2619.401,108.31616,326.81683,49.414547,4.9781933,1.0,22745.576,66.106735,6.476285,1.0
16.318697,47.10735,272.12445,411.31146,73.44502,210336.97,23.342491,14.258056,1171.5792,0.278693825006485,148.75339,0.5111855268478394,0.7266512513160706,0.555719,0.4997805655002594,0.103893615,18.426174,24.69187,0.15096511,0.18577472865581512,0.5093041062355042,123.0,0.0,0.4199936,2036.0,-0.6826140284538269,2.0,0.53611934,2.9305868,-7.679827,-0.80385655,2.0,0.0,2.0,16.92465,1314.4369,0.009999999776482582,15.438863,143.0,86.0,9.9842825,0.3844639,67.12151,3.5444903,0.006739809,0.0,32558.854,65.725174,15.03725,1.0
1.4902354,23.165852,311.24362,1742.5667,37.89298,195472.12,44.390625,6.9969397,1106.4828,0.18341071903705597,82.00432,0.2944876253604889,0.5326606631278992,0.38909516,0.12808556854724884,0.08499543,23.938164,19.073433,0.26430437,0.22930286824703217,0.2897503077983856,123.0,0.0,0.5488141,239.0,-0.10211238265037537,2.0,-0.28912476,2.7197123,-5.7796626,-0.9692337,2.0,0.0,2.0,14.322909,789.1619,0.0,18.391851,102.0,73.0,8.826752,0.020273963,0.3531561,0.4418046,0.13394699,0.0,15061.956,65.82458,7.680524,1.0
1.0328492,48.230137,174.6991,1668.7546,77.923485,617999.25,60.77305,5.731404,3289.8254,0.097563236951828,70.57723,0.29287970066070557,0.3755638599395752,0.6311477,0.07368764281272888,0.31296703,71.42863,17.000355,0.4858021,0.13708685338497162,0.31846246123313904,85.0,0.0,0.44277996,422.0,1.0,12.0,0.57774925,2.9365444,-0.82744503,-0.30810294,1.0,0.0,1.0,28.334072,1479.7617,0.009999999776482582,118.00446,85.0,63.0,3096.9727,1165.1038,250.79636,119.565315,8.661487,0.0,15173.955,65.9155,6.0075817,1.0
1.2500944,33.552383,154.41139,518.71643,103.76342,485663.25,44.037506,7.702533,3063.5588,0.2179124802350998,183.2605,0.46518465876579285,0.4199618101119995,0.4619717,0.3372570872306824,0.126808,77.399704,12.571,0.2100997,0.1729283332824707,0.4560419023036957,69.0,0.0,0.46093354,239.0,0.9407155513763428,3.0,0.33792943,2.9044325,-2.304406,-0.5603108,1.0,0.0,1.0,14.210855,880.1781,0.0,30.691456,102.0,73.0,772.4164,411.89572,1204.3707,121.41868,2.2099056,0.0,32218.568,66.3299,6.9181166,1.0
8.072909,148.648,399.14084,494.6741,25.910292,4403798.5,33.7407,7.7315764,19324.611,0.2375185787677765,291.3282,0.3533892035484314,0.7007321715354919,0.6715894,0.14497435092926025,0.26091486,19.53822,52.70425,0.81553644,0.16574639081954956,0.22171370685100555,75.0,0.0,0.54055804,351.0,0.046690650284290314,9.0,0.013179722,1.6675116,-2.9344208,-0.5687484,2.0,0.0,2.0,30.498127,1008.43726,0.0,61.11156,78.0,55.0,2718.0461,1682.1615,787.70404,213.63889,1.4444214,0.0,32586.223,65.859566,7.6586747,1.0
7.068563,117.59063,428.7499,514.1716,50.274567,677683.7,42.054867,7.8379984,8702.637,0.1922946572303772,187.50383,0.26464951038360596,0.3965608477592468,0.50377834,0.11445066332817078,0.41773057,20.281881,14.998472,0.33786166,0.18777498602867126,0.34661591053009033,55.0,0.0,0.6130989,221.0,0.7344461679458618,5.0,0.23143786,2.106885,-2.4968114,-0.19841321,1.0,0.0,1.0,40.412052,1899.6881,0.0,112.14495,82.0,50.0,3343.6462,409.04898,797.6943,121.00607,7.6444955,1.0,12403.48,65.75116,6.825251,1.0
2.543896,6640.4277,330.60583,313.00708,55.631805,10427140.0,38.003628,7.322236,26173.143,0.24054338037967682,195.78969,0.364802747964859,0.7474775910377502,0.9534643,0.2607434093952179,0.83041024,27.12366,43.89358,0.21438652,0.17524486780166626,0.5025761127471924,47.0,0.0,0.46602,204.0,-0.3530731201171875,4.0,1.631229,4.6519775,-3.0817063,-0.3170504,2.0,0.0,2.0,53.458862,7796.7896,0.0,87.80298,99.0,67.0,455.07144,225.46106,642.76843,111.64808,0.083697006,0.0,24021.248,65.84221,7.3134737,1.0
3.283161,121.796616,1087.5577,369.19934,86.82892,199110.75,40.86085,4.851812,2282.4434,0.13254240155220032,75.70591,0.2135125696659088,0.25741979479789734,0.36488545,0.10214415192604065,0.31911373,133.21042,15.562545,1.9689561,0.16475361585617065,0.21715699136257172,87.0,0.0,0.51186824,132.0,0.22355742752552032,3.0,0.65744054,2.6801987,-1.7785867,-0.17103836,1.0,0.0,1.0,30.056366,1646.5533,0.009999999776482582,72.33388,89.0,69.0,1778.428,503.71164,332.86102,85.81894,10.609531,0.0,44722.117,65.81748,7.0696683,1.0
151.29057,244.12036,259.96838,910.57526,91.66395,269557.4,42.810886,7.7017365,1660.6571,0.23455427587032318,122.08962,0.1801002025604248,0.2689644694328308,0.4253939,0.11194179207086563,0.22103174,130.79626,45.053165,0.87944067,0.1144803985953331,0.16928064823150635,85.0,0.0,0.49466884,422.0,1.0,12.0,1.4222931,3.0556393,-3.4476974,-0.6136549,2.0,0.0,2.0,22.905005,1565.1615,0.0,18.332495,85.0,63.0,710.8559,215.06615,239.23026,46.736057,2.5441358,0.0,15480.043,65.84227,6.4958577,1.0
