feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,target
-0.0131068425,0.1287437,-0.0006336751,0.03745321,0.0136512825,-0.08622411,-0.06464965,0.028388968,-0.08256142,0.09232532,0.005714736,0.0027785085,-0.023970572,-0.046808023,-0.032761015,0.022137865,-0.011814973,0.035875212,-0.05962884,0.006239304,-0.026003001,-0.21272519,-0.068056114,-0.037138473,-0.09649001,-0.0868298,-0.06544725,-0.0753901,0.0032605054,-0.031908203,-0.054579113,-0.07001165,-0.02571722,0.07982676476240158,0.05861873,-0.004949238,-0.103948034,-0.07697801,-0.10807505,0.02211813,0.06588671,0.013897512,-0.079861425,0.055944085121154785,-0.13088109,0.0025846632,-0.16666439,-0.018232431,0.022432772,0.2273895,0.16995224,0.13100262,0.056902766,-0.06680788,0.12393676,-0.054453652,0.026649427,0.11518527,-0.04524101,0.008978892,0.016395377,-0.08001266,-0.08406294137239456,-0.037261944,-0.07584873,0.0018492709,-0.02345548,0.09027888,-0.19479524,-0.06500033,0.053697634,0.007727924,-0.1892901,0.033698108,-0.01865467,-0.02014234,-0.004298732,0.023603065,0.020377442,0.013274737,-0.019960685,-0.057668846,-0.022795564,-0.07160218060016632,0.005399799,-0.07171502,-0.08562691,-0.19027278,-0.0802766,0.03741982,0.019440503790974617,0.11749182,-0.04832978,-0.028647989,-0.01778327,-0.060519498,0.19306017,-0.022460623,0.033825267,-0.07369379,-0.048221134,-0.073429964,-0.06027839,1.0
-0.08655992,-0.04013123,0.041091677,-0.20429307,-0.0876801,-0.14310595,-0.1591015,-0.061287344,-0.0049786265,0.011271025,-0.03703331,0.020257391,-0.06424392,-0.08690206,-0.19274262,-0.054203965,-0.07072047,-0.087971516,-0.018033735,0.047729347,0.0076160748,-0.0708161,0.00044776834,0.012008384,0.021806458,-0.014315514,-0.067698084,-0.055292472,0.10075471,-0.041200712,-0.08591842,0.013478722,-0.060059387,0.013179443776607513,-0.028204473,-0.015418095,-0.023669286,0.003383238,0.024469364,-0.091787435,-0.04422869,0.05016253,0.054257914,-0.018762532621622086,0.031469192,-0.028420541,-0.05007127,0.1701856,0.12819476,0.21988048,0.0953934,0.04551429,-0.009960104,-0.052145563,-0.050807837,-0.24226049,0.20266151,0.24951531,-0.006157771,0.029229736,-0.014364428,0.095688,0.031305402517318726,0.08114929,-0.10797609,-0.024589198,-0.077788,-0.00093415385,-0.26184326,-0.03949999,-0.032006655,-0.041671228,-0.2237858,-0.09536381,-0.005831138,-0.0025465833,0.022497842,0.0273666,0.07153191,-0.00087926904,-0.04322688,-0.113891594,-0.027641498,-0.045746199786663055,-0.028475799,0.04235509,-0.008550674,-0.06379677,-0.01679749,0.033816982,-0.02888341061770916,0.00386661,-0.033110384,0.029282479,-0.031854723,0.015943395,0.09776302,-0.041980818,-0.0410705,-0.06364987,-0.027180022,0.0029655881,0.10889834,1.0
-0.033779483,0.073577754,0.019014256,-0.025587853,-0.16417556,-0.07032917,-0.094325066,0.055310957,-0.028236154,0.10196365,0.21684732,0.13055122,-0.06792368,0.14816001,-0.0100745475,0.22782297,0.06155078,0.015810473,0.05466801,0.025023172,0.0072783823,-0.062353678,-0.011065417,-0.06815636,-0.011254429,-0.052682664,-0.03980543,0.04591991,-0.022337927,0.07081891,0.0029805773,-0.027141582,-0.06758113,-0.004469675477594137,-0.22892179,-0.05047936,-0.21802609,-0.07404491,-0.11446412,-0.10988172,-0.07670834,-0.024463825,-0.0388005,0.03421716019511223,-0.06792445,-0.10474483,-0.22202593,0.21644087,0.015878392,0.06603673,0.08414796,0.076730974,0.0961809,8.775533e-05,0.024803393,0.07611199,0.025610944,0.021141637,0.01303427,0.07315399,0.07661712,0.025590273,0.09440825134515762,0.009738021,-0.051252298,-0.03522526,-0.034418866,-0.020888312,-0.052151013,0.03571808,0.114627905,0.003961498,-0.085314035,0.05917462,-0.026160931,-0.1369043,-0.18860482,0.04959167,0.09909764,-0.08213824,-0.020603865,-0.047889404,-0.11494602,0.1385350227355957,-0.011179982,-0.009602947,-0.008570213,-0.03572856,-0.024781734,-0.058200993,-0.047632116824388504,-0.025046479,-0.007895307,-0.038868222,-0.013241116,0.16549358,-0.02253447,-0.012522523,-0.025410917,0.08422931,-0.03233425,-0.0057191188,-0.077697925,1.0
-0.040208716,-0.111479476,-0.001393908,-0.03397234,-0.018645793,0.034822885,-0.060158707,0.103267215,-0.03816952,0.010669992,-0.06702484,0.02560919,-0.047918454,0.03185773,0.024589656,0.09357151,-0.070584625,0.10103714,0.052643113,-0.037900932,-0.043034486,-0.035875622,0.00021757228,-0.053993702,-0.04513367,-0.05824991,-0.017156508,-0.05941531,-0.09248872,-0.071049735,-0.028272625,-0.08736775,-0.057616506,-0.0288009624928236,0.0403731,0.05284713,-0.060387667,0.015106324,-0.010049565,0.018667279,-0.043003123,0.12849706,-0.0063797343,0.0059775845147669315,-0.008382123,-0.060404927,-0.078812756,-0.017560154,0.017084612,0.05831922,0.12076152,0.14876996,0.22238225,-0.093427144,0.10651591,0.060247984,0.10808402,0.2595524,-0.18923275,-0.18180671,-0.041300304,-0.067326225,-0.23786163330078125,-0.048454426,0.070870474,0.040398587,-0.102275185,-0.01276935,-0.076354876,-0.013491275,-0.09230535,-0.025255553,0.06752688,0.0006681973,-0.049816884,-0.0718396,-0.09459853,-0.044870894,-0.07227305,0.03535004,0.02494681,-0.03355842,0.07928918,-0.10002591460943222,-0.081501245,-0.018664826,-0.09012482,-0.045478653,-0.06467837,-0.04669104,-0.016474580392241478,0.12167923,0.028673965,1.4481208e-05,-0.023192216,-0.06832329,0.1716667,0.03606847,-0.10313131,-0.04268389,-0.016071897,0.0135962665,-0.0016634429,1.0
0.011220177,-0.07488582,0.0016727556,0.23441133,0.0032831666,-0.051937554,-0.013390956,0.04579608,-0.032952327,0.05914603,-0.050542768,0.08535091,-0.07494066,-0.035680067,0.004836559,0.19177274,-0.1001609,-0.0019617614,-0.15932824,-0.10662702,0.033607613,0.02931537,0.08247163,0.018577656,-0.086925186,-0.023931026,0.099145964,0.015322335,0.04441173,0.009001278,-0.02388366,-0.060379088,-0.06285128,0.0015722746029496193,-0.042629562,0.08916475,0.035499793,-0.002327034,-0.08697177,-0.077353865,0.014669461,0.06897233,0.013967752,0.022402677685022354,-0.06290504,-0.11228566,-0.030388495,0.06261971,0.24867609,0.23425716,0.039105874,0.03228792,-0.009211893,-0.024551086,-0.0851774,-0.24905825,0.11173859,0.16280793,-0.0286704,-0.055032745,-0.035161972,-0.05815024,-0.0840587317943573,-0.039090205,-0.07869145,-0.08257782,0.0038717294,0.0156206805,-0.055307902,-0.104215614,0.0065759146,0.08790218,0.0010799128,0.013456313,0.003214287,-0.041022807,0.0015794875,0.01836026,-0.0075028087,-0.0128555,-0.0476451,-0.055316936,0.082211554,-0.058066535741090775,0.13439246,0.004642086,0.06370515,-0.041916646,-0.014399557,-0.038794443,-0.042055513709783554,0.011991655,-0.064459115,0.0017499033,-0.08253573,-0.059772324,-0.12644652,-0.043134697,-0.009721546,-0.04746077,-0.056137018,0.028733501,0.08159131,1.0
-0.02142886,-0.005883232,0.043467868,0.032126483,0.06831542,-0.021896614,0.052836552,0.01850475,0.027675195,-0.051808078,-0.027762461,0.0037122872,-0.052031144,-0.0803309,-0.11717356,-0.21697704,-0.061038453,-0.0843875,0.04919171,0.14438054,0.030209458,0.029693188,0.026749117,-0.10978077,0.031533048,-0.008323931,-0.0065722503,0.034224875,-0.06508523,0.021041026,0.059487972,-0.017040662,-0.0019338637,-0.03833878040313721,-0.05613209,-0.34533295,-0.17484362,0.040214904,-0.11353835,0.0025087318,-0.19027488,-0.24703129,-0.08359092,0.03617211803793907,0.003052104,-0.09805182,-0.021297306,0.037416726,0.1156932,-0.017255984,0.0068837926,0.012351216,-0.015788296,0.047490165,-0.20954128,-0.049906407,0.15376908,0.046173688,0.047399543,0.040435333,0.10373298,0.1347709,0.08686015754938126,0.17768976,-0.054364987,-0.0726066,-0.029457854,-0.0070352824,0.026508575,0.027780326,0.13393445,0.1403977,-0.12373995,-0.060353667,0.03926297,0.03289022,-0.066782996,0.1798721,0.15189561,-0.007238558,0.019538186,0.096817896,-0.12817912,-0.03189515322446823,-0.0068214713,-0.11679009,0.018693527,0.25559095,0.005117668,-0.01176942,-0.06309371441602707,-0.045641825,-0.1380789,0.016726224,-0.05584696,0.09764111,-0.025053803,-0.035408065,-0.06263079,0.35287705,-0.041679822,0.0010280423,0.032697506,1.0
0.07435624,-0.018217841,-0.053250678,-0.032475915,-0.09797146,0.012409766,-0.06316257,0.0021015992,-0.069272414,-0.013034391,-0.04662414,0.03137851,-0.0873346,-0.040022604,-0.05733202,0.01838201,-0.22619547,0.032954134,0.008078961,0.05711662,-0.01400161,0.054814182,-0.090180084,-0.11154004,-0.031422716,0.013356143,0.1250006,0.08626837,0.024858806,0.11315278,0.22900462,0.037950102,-0.026136998,-0.039732426404953,-0.045500517,0.046263505,0.011382517,0.0014632704,-0.047069535,-0.019508645,0.016286552,-0.01709269,-0.06333772,0.023900864645838737,-0.05069394,-0.0952666,-0.015668955,0.031798806,-0.03705922,-0.03613939,-0.0630648,-0.03848128,-0.034889325,0.0037237478,-0.067558296,0.0058252946,0.018287102,-0.013549431,0.02873003,0.12152538,0.07489923,0.17900841,0.11577287316322327,0.014593145,-0.073746674,-0.074528724,0.03746,0.04678429,0.09875021,-0.074672885,-0.03354839,0.089025915,0.048315972,-0.03244582,0.022745367,0.024766356,-0.057263035,0.047750242,0.015139623,-0.059675466,-0.041705623,-0.054712817,-0.0061928215,0.17290304601192474,0.048965156,0.09460689,0.021565182,-0.04656704,-0.039330326,-0.06873353,-0.01948326639831066,0.096920125,-0.048730724,0.12880233,-0.08414174,0.026631482,-0.12033878,-0.05690219,-0.029580928,0.070530504,-0.049341384,-0.09557564,0.07674468,1.0
0.098057605,-0.02299011,-0.006032857,-0.12586892,-0.1387502,-0.07923165,-0.13187511,0.014802741,-0.08370518,-0.007238433,0.100801155,0.10422148,-0.03918421,0.06575477,-0.08125765,0.12185783,-0.07223288,0.06365359,-0.111282244,-0.021413002,0.03192845,-0.064502865,0.024023475,-0.0666992,-0.018236108,-0.023645114,-0.04226378,0.054696217,-0.0012353174,0.012438833,0.0033258204,0.004238241,0.09137916,0.08086021989583969,-0.010012815,-0.048452597,-0.01759488,0.014692371,0.0069350805,0.0051512583,-0.027002884,0.047415517,-0.08507707,0.14760158956050873,0.006387494,0.049556766,-0.011434765,-0.008100779,-0.1024105,0.059342362,0.0637695,0.005119126,-0.00924687,-0.20428517,0.23434022,-0.078976445,0.0058039417,0.025051264,-0.022925468,0.008393208,0.029275885,0.0069483,0.03129633516073227,-0.08944151,-0.08140855,-0.0057649184,0.05985456,-0.004042228,0.034657836,-0.0561351,0.025987305,0.024956835,0.080729894,-0.0012386258,-0.03642093,-0.049387403,0.041056212,-0.08187913,-0.030359307,-0.023589237,-0.07443804,-0.042781346,0.012569835,-0.04453308507800102,0.19705997,0.023438036,-0.0074774297,-0.085820735,-0.06164083,-0.0076737953,0.1226516142487526,-0.012809767,-0.025460964,-0.0015795424,-0.02673732,-0.025246711,-0.0037688452,-0.019372147,0.2688248,-0.11618823,-0.06302599,-0.12834813,-0.065137774,1.0
0.027988136,-0.020097796,0.11069176,0.051349055,0.06833724,0.020948876,0.05597384,0.014556822,0.03020523,0.113810994,0.037258048,0.09497341,-0.07682526,-0.03704769,0.08113526,0.059125725,0.080144465,0.07832234,0.01124116,-0.0098380195,-0.07556871,-0.09536686,-0.14188187,-0.007184815,-0.22010358,-0.037507422,-0.01500115,-0.08103749,-0.16839209,-0.060990296,-0.0059466767,-0.12720676,-0.00817845,0.03204316273331642,0.08752654,0.020428281,0.022127645,0.00497958,-0.038990736,0.10787959,0.09018756,0.089932695,0.012361524,0.012792449444532394,-0.029231522,-0.041500703,0.015753046,-0.030052286,-0.028001731,0.03693073,-0.025083968,-0.07225628,-0.059686136,0.003687809,-0.055834774,-0.0250203,-0.0027739774,0.15785043,-0.13421774,0.046453025,-0.0015620326,-0.0076191113,0.14535412192344666,0.022435427,-0.056880616,-0.05795243,-0.03775432,-0.03571766,-0.071108066,-0.036710005,-0.15721443,-0.19083165,0.036113255,0.06685653,-0.03440239,0.026636682,-0.024275564,-0.01556996,-0.029422915,0.002383088,0.10661807,-0.03450225,-0.022058329,-0.023614363744854927,0.014904671,0.07819414,-0.025840148,-0.034329306,-0.03203246,-0.07090357,-0.10243505239486694,-0.012584801,-0.04157346,-0.013850918,0.0103678005,0.019656524,0.05358361,-0.05035486,0.029391183,0.055980768,-0.064695895,-0.06135996,-0.06103951,1.0
-0.0027286634,-0.069117084,-0.03288876,-0.0767716,-0.048977625,-0.042007245,-0.12516439,0.03544911,-0.026100492,0.08517743,-0.023389999,0.05645214,-0.05796017,-0.18603647,-0.031276394,-0.013886228,-0.03167487,0.00904028,0.022088034,0.029566018,0.0087297335,0.041821472,-0.06325843,-0.07480292,-0.0775599,0.057774566,0.083121814,0.07449271,-0.16499034,0.038517773,0.035887685,0.01767537,0.038190845,0.05759803578257561,0.02575701,-0.0115953395,0.07927331,0.034178834,0.18868072,0.018382704,-0.133777,0.027614223,0.017609753,-0.004131540656089783,0.06502545,0.0683315,0.034200836,0.09056682,0.012476494,0.07566147,-0.01048629,-0.03221935,-0.06591247,-0.033525955,-0.025100559,-0.2075441,-0.014887279,0.04241167,0.08861971,0.05926212,0.043630857,0.0468518,0.07977182418107986,-0.037455633,-0.31555194,-0.20040618,-0.006528515,-0.0029148213,-0.01474478,0.005147238,0.037056554,-0.013468405,0.020469796,0.0075915847,-0.049764875,0.0007139273,0.019616993,-0.05857805,-0.1211273,0.03746374,-0.028281474,-0.030055111,0.0426363,-0.008613144978880882,0.3039099,0.047255185,-0.013961939,-0.034589626,-0.026805375,-0.067195036,-0.03745376691222191,-0.011447986,-0.0135729415,-0.022529487,-0.022118805,-0.014449423,-0.028666804,-0.025358789,-0.038792454,-0.06329793,-0.0013709377,-0.015943872,0.018887378,1.0
