Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.62710214,0.485,0.16837464,1.1738894,0.5409263,0.26546758,0.3095862567424774,11.0
M,0.58,0.45428044,0.16,0.9694527,0.47400856,0.22488533,0.2727203369140625,10.0
I,0.33625188,0.2547893,0.095,0.19300227,0.08820732,0.04068116,0.08050861954689026,7.0
M,0.57,0.455,0.15,0.9300743,0.3476708,0.19589338,0.3000158369541168,13.0
M,0.6292059,0.5,0.17,1.2784865,0.51470447,0.24381013,0.3898186981678009,15.0
I,0.33257058,0.24684496,0.08,0.17269498,0.07747799,0.034535196,0.06094793975353241,7.0
M,0.46947822,0.365,0.12,0.6005737,0.23048142,0.13685268,0.2156403362751007,11.0
M,0.38460517,0.29276735,0.095,0.31468996,0.15723102,0.057679653,0.09589222818613052,8.0
I,0.425,0.3282006,0.1,0.41685316,0.16615412,0.086890005,0.11045963317155838,8.0
F,0.6483416,0.5,0.165,1.1869057,0.5616591,0.28463387,0.33908629417419434,10.0
F,0.615,0.47316208,0.16,1.1086307,0.4988082,0.23902269,0.2963548004627228,10.0
M,0.43623587,0.3276018,0.11,0.46251437,0.17654184,0.07900426,0.11937454342842102,9.0
F,0.53882754,0.41,0.135,0.789592,0.36328208,0.1651398,0.2005397081375122,9.0
M,0.6839794,0.52,0.18,1.4483733,0.74045193,0.32623026,0.39107567071914673,9.0
I,0.55,0.425,0.125,0.72870374,0.33172363,0.17294137,0.18967187404632568,8.0
M,0.55,0.41,0.145,0.7360647,0.3397757,0.16645004,0.21640461683273315,10.0
F,0.505,0.39807796,0.115,0.60114676,0.2824763,0.12416693,0.17020311951637268,9.0
M,0.70556617,0.5654631,0.18602888,1.7987005,0.83326966,0.3740607,0.44867369532585144,11.0
I,0.42642286,0.3216572,0.11019587,0.30085543,0.1641155,0.063249074,0.10411754250526428,9.0
M,0.66,0.5179529,0.185,1.4402547,0.71106386,0.36094835,0.3952929377555847,10.0
I,0.4776183,0.36552292,0.115,0.44581765,0.22106843,0.10269905,0.1407180279493332,7.0
M,0.615,0.48177302,0.16,1.1666346,0.47505152,0.24105638,0.33500000834465027,11.0
I,0.24210966,0.1655382,0.058887277,0.05463001,0.024057895,0.01476676,0.01625942997634411,7.0
F,0.58,0.46,0.15,1.0174407,0.45548105,0.22095817,0.26654285192489624,9.0
I,0.475,0.3378538,0.12,0.4135033,0.20239271,0.09323533,0.12619923055171967,8.0
I,0.58715796,0.45,0.15,0.9493596,0.40645114,0.21370785,0.23852591216564178,8.0
I,0.40253055,0.291963,0.072715715,0.20384356,0.09555642,0.047838137,0.06999212503433228,9.0
F,0.625,0.4776866,0.16,1.1386446,0.54045564,0.2581147,0.2932173013687134,9.0
I,0.46,0.355,0.11,0.4039454,0.19693223,0.07730172,0.1105300560593605,7.0
F,0.6717953,0.5277174,0.175,1.4493117,0.67558587,0.32415432,0.39143216609954834,11.0
M,0.61,0.475,0.165,1.1800207,0.5117509,0.2517121,0.31865113973617554,9.0
M,0.33594382,0.2781507,0.08,0.27653396,0.06336533,0.051276952,0.06851908564567566,4.0
I,0.525,0.395,0.1316898,0.70401186,0.29729983,0.13461725,0.16419684886932373,8.0
I,0.46,0.36807516,0.11,0.4337398,0.1947301,0.09034721,0.1196516752243042,7.0
I,0.3477615,0.2477013,0.07965274,0.15839984,0.067956254,0.033468273,0.06466937810182571,6.0
M,0.515,0.3947112,0.14,0.67373437,0.3039414,0.15398403,0.18906772136688232,10.0
F,0.4496572,0.35,0.11,0.4364887,0.16451468,0.09618367,0.14489533007144928,11.0
I,0.44575244,0.35,0.11,0.44234237,0.18391034,0.091967225,0.09884671121835709,8.0
M,0.5739567,0.44589305,0.145,0.91732633,0.4178941,0.19473055,0.21767887473106384,9.0
F,0.57,0.42734098,0.155,0.92704743,0.4238043,0.19616117,0.25950711965560913,10.0
M,0.5425153,0.41425815,0.15,0.84872156,0.29396722,0.13137572,0.26499998569488525,15.0
F,0.55,0.43,0.14392596,0.91504586,0.40357104,0.19380844,0.2344096302986145,9.0
M,0.56,0.435,0.135,0.87913847,0.37902302,0.19238546,0.2396884560585022,9.0
M,0.6335172,0.49828443,0.165,1.2314951,0.5503306,0.28235754,0.32063010334968567,9.0
F,0.625,0.4915214,0.165,1.1803893,0.50943434,0.26136243,0.3094768226146698,13.0
I,0.61,0.47,0.17,1.0640947,0.50355184,0.24715868,0.31400227546691895,10.0
M,0.475,0.355,0.135,0.56042534,0.2507768,0.12013843,0.16629135608673096,10.0
F,0.5504158,0.43,0.13,0.7748881,0.36083263,0.16393398,0.21684704720973969,8.0
F,0.65474826,0.505,0.18,1.3405019,0.6168775,0.3080197,0.3709801137447357,11.0
M,0.67976636,0.5352272,0.18473591,1.6864052,0.78448206,0.359469,0.407753050327301,9.0
I,0.3709094,0.28182098,0.105,0.2803125,0.13816904,0.056721423,0.06999856978654861,9.0
M,0.6839275,0.525,0.18,1.5489396,0.69860125,0.34432063,0.433305948972702,10.0
M,0.55,0.435,0.14014164,0.9549058,0.4234394,0.20044032,0.25,9.0
M,0.4857632,0.37,0.125,0.5281429,0.22456534,0.12116165,0.16780437529087067,10.0
I,0.525,0.41076326,0.145,0.7199145,0.34870738,0.14774159,0.20625296235084534,9.0
I,0.525,0.4,0.145,0.7341686,0.33941564,0.16710566,0.22142164409160614,10.0
I,0.27343538,0.19520903,0.06344078,0.08402497,0.046238698,0.020221706,0.030852574855089188,5.0
M,0.41007206,0.32587543,0.11,0.33412617,0.15401174,0.08582433,0.10405313223600388,7.0
M,0.47,0.37,0.12813246,0.49379066,0.16391288,0.10526312,0.1801457405090332,13.0
I,0.35937503,0.2770235,0.08,0.2539044,0.08102709,0.04278617,0.06550338119268417,8.0
F,0.63,0.50072235,0.165,1.2746257,0.57905835,0.30851787,0.38313719630241394,10.0
F,0.47933996,0.375,0.125,0.5765139,0.25632808,0.13260742,0.1500057578086853,9.0
M,0.615,0.4817362,0.15,1.1606513,0.5279749,0.24341434,0.29418104887008667,9.0
M,0.53102803,0.4302016,0.145,0.86971015,0.37052754,0.19573592,0.2445714771747589,9.0
I,0.31700194,0.22815521,0.08,0.14830013,0.058872942,0.0321113,0.04376932978630066,7.0
F,0.46,0.355,0.10787771,0.46162575,0.18048513,0.09581359,0.12779028713703156,7.0
F,0.6,0.475,0.155,1.068506,0.4904116,0.22382301,0.2903529107570648,11.0
F,0.5554963,0.435,0.145,0.85375524,0.3797831,0.18068446,0.2220832258462906,9.0
M,0.5558156,0.445,0.13,0.7841539,0.2946873,0.15956098,0.2538585364818573,13.0
M,0.44003895,0.34918872,0.12,0.481782,0.2209777,0.0997112,0.13503865897655487,9.0
M,0.7098077,0.5710816,0.78222257,2.7333264,0.6611741,0.4257525,1.0041708946228027,28.999889373779297
M,0.615,0.48535767,0.17,1.2429215,0.5162547,0.2722609,0.3550114631652832,11.0
M,0.6074497,0.475,0.165,1.153416,0.49558458,0.25720105,0.30086272954940796,9.0
M,0.57,0.455,0.16,0.95214474,0.3795847,0.2083841,0.2930540442466736,12.0
M,0.56,0.44,0.145,0.90200406,0.39113462,0.19428617,0.23357053101062775,11.0
M,0.53,0.4,0.13,0.6757037,0.29984534,0.14314197,0.21210122108459473,8.0
M,0.5459194,0.41,0.13,0.66309446,0.3759051,0.14208405,0.17195911705493927,8.0
F,0.545,0.41183183,0.14,0.79417354,0.35471722,0.18872699,0.22259734570980072,10.0
M,0.52,0.41,0.14,0.75717056,0.34261936,0.16295253,0.20466245710849762,9.0
M,0.6592977,0.515,0.18,1.4784541,0.64489746,0.3110209,0.4017888903617859,11.0
M,0.3883867,0.29786065,0.09,0.2915296,0.116836414,0.049161755,0.07814675569534302,7.0
F,0.5955935,0.46,0.155,1.0865766,0.45595533,0.22205515,0.3096812665462494,11.0
I,0.47588405,0.37032267,0.125,0.47065264,0.27167475,0.11409991,0.150143563747406,8.0
F,0.52716875,0.40042531,0.14,0.73204195,0.3457186,0.15716083,0.17950622737407684,10.0
M,0.55,0.45031488,0.15,0.99858797,0.3939893,0.1890753,0.33220404386520386,17.0
F,0.70615125,0.5515076,0.19510916,1.9379015,0.8737658,0.43200713,0.5079448223114014,10.0
I,0.09765841,0.069092214,0.023387223,0.01231256,0.0056393915,0.002632431,0.011052478104829788,6.0
I,0.5155005,0.405,0.125,0.6904239,0.3374719,0.1434526,0.1818179041147232,9.0
I,0.505,0.3848291,0.115,0.6215146,0.24022807,0.1031389,0.17640237510204315,7.0
F,0.59,0.46,0.155,1.0685205,0.5113265,0.23269092,0.2705438733100891,9.0
I,0.50823885,0.39813036,0.115,0.61874235,0.25452837,0.12613636,0.14122533798217773,8.0
F,0.5721115,0.45,0.16,0.9387104,0.4331914,0.21647276,0.26331627368927,10.0
F,0.6065502,0.47,0.16,1.0615917,0.47210497,0.23195978,0.3009066581726074,9.0
I,0.52,0.40419796,0.125,0.6684988,0.31098956,0.15803863,0.21934010088443756,10.0
M,0.5692085,0.445,0.155,0.9427994,0.4248212,0.19186604,0.25387170910835266,10.0
M,0.5443379,0.435,0.155,0.95462483,0.32029036,0.19475223,0.3009989559650421,15.0
I,0.5,0.385,0.12,0.63119143,0.26667354,0.12938435,0.1694183051586151,7.0
M,0.55853176,0.4275212,0.16,0.91701144,0.4300556,0.17938243,0.25956279039382935,9.0
M,0.67749053,0.5218208,0.18,1.6055722,0.6518114,0.33037594,0.42640015482902527,10.0
M,0.7103783,0.5650845,0.19496988,1.8595659,0.877697,0.42424324,0.4737832248210907,10.0
M,0.52,0.40241104,0.15461455,0.7257202,0.3343069,0.14519913,0.21760216355323792,11.0
M,0.61825645,0.495,0.16508713,1.3015072,0.5283794,0.26604885,0.34138378500938416,13.0
M,0.505,0.38262236,0.135,0.6727676,0.32418463,0.16192204,0.18943262100219727,9.0
M,0.63,0.485,0.16,1.1348227,0.44633028,0.23875965,0.3556828498840332,11.0
M,0.6764176,0.53,0.19,1.6328672,0.6221145,0.30472413,0.5181334018707275,15.0
F,0.70755124,0.5385884,0.18230098,1.5952002,0.8178833,0.3794763,0.4009062349796295,8.0
M,0.58,0.45,0.15,0.93364996,0.48651907,0.20376346,0.2444479763507843,9.0
M,0.48781586,0.37,0.125,0.6275691,0.325832,0.12813619,0.16336576640605927,8.0
M,0.525532,0.425,0.14,0.8338781,0.2886006,0.16984865,0.26091909408569336,12.0
F,0.585134,0.445,0.16,1.0366428,0.4581169,0.22618206,0.31518304347991943,10.0
M,0.5453467,0.42,0.145,0.7654531,0.33455846,0.17080887,0.24793890118598938,10.0
F,0.63,0.48,0.155,1.1745842,0.5229487,0.26422897,0.3260558247566223,10.0
F,0.63,0.49,0.17,1.2598795,0.60576147,0.27567908,0.33500000834465027,10.0
I,0.07533968,0.055227917,0.00053576706,0.004698409,0.0010137013,0.00060519436,0.0015552106779068708,4.0
F,0.6918588,0.53,0.175,1.6455564,0.722695,0.32458982,0.43488895893096924,10.0
F,0.7229679,0.56748474,0.2,2.0657558,0.9439289,0.46240726,0.5625469088554382,10.0
F,0.55,0.44,0.135,0.898891,0.38227507,0.1780217,0.24441707134246826,10.0
F,0.47017774,0.3587021,0.13,0.58424133,0.23867758,0.11451771,0.16556613147258759,11.0
I,0.3825338,0.27828276,0.08002595,0.2220914,0.096498415,0.04341598,0.0699867531657219,7.0
M,0.53,0.41045958,0.155,0.7999511,0.3287208,0.15087679,0.27459365129470825,9.0
M,0.44336754,0.355,0.12,0.39317572,0.14220503,0.09230959,0.16596785187721252,13.0
F,0.5301653,0.41593796,0.13312297,0.76367134,0.32593063,0.16970949,0.2316034734249115,9.0
F,0.69493103,0.5491125,0.19,1.8054085,0.63596165,0.35974526,0.555899441242218,25.370389938354492
M,0.6448062,0.51714987,0.175,1.4515676,0.6504658,0.3093528,0.36828288435935974,9.0
I,0.43320495,0.35,0.105,0.33578584,0.17123713,0.07000148,0.10101008415222168,7.0
M,0.57,0.42,0.15,0.792412,0.37138355,0.18260768,0.2382168024778366,10.0
I,0.5377744,0.42475596,0.145,0.7175184,0.371281,0.16349523,0.2444777935743332,10.0
F,0.37847093,0.2955319,0.095,0.31496164,0.116054624,0.059474852,0.09614603966474533,7.0
M,0.58,0.44124988,0.15211497,0.9459174,0.47746807,0.19793405,0.25574854016304016,9.0
I,0.41457477,0.30690014,0.1,0.28319243,0.1550798,0.05123457,0.08899404108524323,6.0
F,0.44538823,0.35,0.125,0.49959722,0.2404488,0.10011399,0.11486850678920746,9.0
F,0.57,0.455,0.15,0.97637415,0.47081387,0.22126916,0.2763376235961914,10.0
M,0.46870372,0.37253854,0.12709542,0.5001724,0.19458577,0.12518327,0.17518489062786102,11.0
M,0.56,0.41616443,0.145,0.7534394,0.3753495,0.17242886,0.22135736048221588,11.0
F,0.572384,0.45,0.145,0.95597786,0.41373923,0.19634914,0.25293615460395813,9.0
F,0.63,0.4854894,0.165,1.2255034,0.592479,0.25586903,0.34351781010627747,10.0
M,0.52277076,0.38910303,0.14,0.6787656,0.3360438,0.14982133,0.18243436515331268,8.0
I,0.565,0.43923208,0.14,0.83507127,0.3933347,0.19124357,0.26499998569488525,9.0
I,0.33166996,0.24017587,0.075,0.13945918,0.07198977,0.030081,0.050955671817064285,7.0
F,0.3850743,0.28539595,0.095,0.28608862,0.14389575,0.059374448,0.08392934501171112,9.0
I,0.46,0.3394565,0.105,0.36967662,0.17824288,0.07969258,0.11113451421260834,8.0
F,0.5,0.38007328,0.12758306,0.5499875,0.24094217,0.14514163,0.18368010222911835,11.0
F,0.5914707,0.47,0.15796585,1.119168,0.4629978,0.23542874,0.3216474950313568,9.0
I,0.33942056,0.2433468,0.06511622,0.14857627,0.059590425,0.029966533,0.04468763619661331,8.0
F,0.5195383,0.40522856,0.145,0.769711,0.2896345,0.14490277,0.25999999046325684,15.0
