Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.43036166,0.30943215,0.09074407,0.33600146,0.12070059,0.065116376,0.10350313037633896,9.0
F,0.63782704,0.495,0.17,1.2124524,0.52547836,0.2561284,0.3451526165008545,11.0
F,0.585,0.44713768,0.145,0.9744745,0.37426004,0.196992,0.2540926933288574,9.0
F,0.5381799,0.42,0.15,0.8294961,0.36240518,0.1731159,0.22181014716625214,9.0
I,0.535,0.4,0.14,0.63566655,0.22598243,0.12339471,0.20619897544384003,15.0
F,0.57,0.425,0.15,0.8722603,0.39101204,0.2008003,0.25912654399871826,10.0
F,0.6,0.46381217,0.165,1.0246032,0.48271957,0.23021366,0.29434314370155334,11.0
F,0.52627,0.4118239,0.15,0.77405643,0.24802065,0.15192851,0.31960728764533997,26.134838104248047
M,0.5013163,0.38820088,0.125,0.60711473,0.27074432,0.13962454,0.1698184609413147,9.0
M,0.4776429,0.38,0.13,0.50262296,0.20250592,0.11805846,0.19569718837738037,13.0
F,0.5980265,0.45,0.16,1.0079303,0.4637792,0.23061727,0.27847161889076233,10.0
M,0.625,0.44,0.175,1.2431355,0.42612725,0.1708458,0.35918113589286804,15.0
M,0.63,0.5010441,0.16809872,1.2416209,0.50804514,0.26935497,0.35516390204429626,13.0
F,0.62,0.48317948,0.16993348,1.2313923,0.5746019,0.26257068,0.3317593038082123,9.0
M,0.536377,0.42984304,0.145,0.89415056,0.40996587,0.18281783,0.24174486100673676,8.0
M,0.56,0.445,0.16054995,0.8707406,0.36348653,0.17572786,0.27354782819747925,15.0
M,0.30967733,0.24410291,0.06905929,0.1754691,0.051894687,0.0367238,0.052217017859220505,7.0
M,0.5655417,0.45,0.15,0.90369695,0.31310636,0.19164917,0.2804383933544159,13.0
M,0.6020131,0.475,0.155,1.0033811,0.406038,0.22171013,0.2821089029312134,13.0
F,0.35300216,0.24861349,0.075,0.17111675,0.09339046,0.035153423,0.06004822999238968,8.0
I,0.5305975,0.41,0.135,0.68815744,0.3245145,0.15493675,0.20295879244804382,9.0
I,0.5965839,0.46,0.14893082,0.8725543,0.41704947,0.22151521,0.25314468145370483,9.0
F,0.6703863,0.52,0.19871444,1.5124798,0.6138547,0.294213,0.5490265488624573,15.0
M,0.53,0.4211703,0.15355714,0.8095505,0.32604927,0.1731842,0.24399356544017792,12.0
F,0.5834716,0.46858266,0.165,1.008248,0.4292815,0.20371835,0.31277474761009216,15.0
M,0.57,0.45,0.155,0.9816254,0.43358958,0.21353592,0.2507840394973755,9.0
M,0.56278,0.45,0.155,0.99945384,0.43368196,0.23124006,0.2752968370914459,9.0
M,0.58,0.44600365,0.16,0.9707517,0.46276787,0.21333613,0.28351524472236633,10.0
F,0.63765985,0.51,0.19,1.2706554,0.59001,0.28820723,0.36114636063575745,11.0
M,0.56,0.44501317,0.16,0.9233822,0.33375177,0.18317805,0.29277458786964417,13.0
F,0.51535636,0.40641978,0.135,0.7158173,0.28162095,0.1310972,0.19983798265457153,11.0
I,0.584329,0.465,0.155,1.0859398,0.47218844,0.20853214,0.28878283500671387,9.0
I,0.475,0.355,0.115,0.51467186,0.22989666,0.11879793,0.14562438428401947,8.0
I,0.3048067,0.20987847,0.07151496,0.118297875,0.054019738,0.023363238,0.02980758436024189,8.0
F,0.35589808,0.25246263,0.08,0.21872227,0.06235479,0.035655368,0.07554668188095093,4.0
M,0.65,0.5062303,0.175,1.352595,0.6876137,0.30191553,0.3338008224964142,9.0
F,0.43881032,0.32836244,0.13,0.4670105,0.19706197,0.10142283,0.13520704209804535,10.0
I,0.57,0.45,0.16,0.89894545,0.34690964,0.19564527,0.29450133442878723,13.0
I,0.44615072,0.34681043,0.10357809,0.42014587,0.20151822,0.084095225,0.11102814227342606,7.0
F,0.6262264,0.485,0.16,1.2286507,0.5653966,0.2630093,0.3006858825683594,9.0
F,0.55,0.42,0.13,0.75944436,0.33980796,0.1653292,0.20182360708713531,8.0
M,0.53132814,0.435,0.155,0.7754598,0.32169032,0.17676607,0.23853403329849243,13.0
M,0.59,0.46,0.135,0.9657608,0.3673835,0.21200429,0.2676263153553009,11.0
I,0.47164476,0.36441556,0.11,0.4915187,0.22506317,0.11144713,0.13606645166873932,8.0
M,0.575,0.46,0.155,1.0305922,0.38053763,0.21946815,0.3031976521015167,11.0
I,0.40964225,0.30311096,0.1,0.33899677,0.15416472,0.058552038,0.0946609377861023,7.0
M,0.547769,0.42467704,0.13,0.74979514,0.34078357,0.17968911,0.20703355967998505,9.0
M,0.6076058,0.47,0.165,1.0619583,0.5068864,0.24197055,0.2876856029033661,10.0
I,0.3690877,0.2635464,0.08391623,0.1899802,0.0824879,0.04305643,0.062345486134290695,8.0
I,0.3474642,0.247786,0.09184028,0.18648946,0.09202769,0.03708926,0.06057462468743324,7.0
M,0.62,0.49901077,0.17,1.1701428,0.51472074,0.25579807,0.33500000834465027,12.0
I,0.47595367,0.3571509,0.12,0.4497312,0.2238946,0.08947677,0.11992377787828445,8.0
F,0.5680089,0.4451787,0.15,1.0090048,0.3326803,0.19341703,0.31998592615127563,15.0
I,0.4041607,0.27700895,0.090528175,0.24514279,0.10609207,0.03712245,0.06390891969203949,7.0
M,0.47939074,0.375,0.13,0.5429167,0.2780471,0.12836026,0.1441793292760849,9.0
F,0.44,0.35080275,0.115,0.42599684,0.22150439,0.08934004,0.11936474591493607,7.0
I,0.34502172,0.24233389,0.09,0.1878575,0.08408181,0.03612468,0.06996602565050125,7.0
M,0.605,0.47992828,0.16,1.050903,0.4517001,0.22783849,0.3000795841217041,12.0
F,0.62,0.48,0.155,1.1489824,0.52846134,0.24476618,0.29486966133117676,9.0
F,0.62,0.47,0.16,1.0481446,0.4979878,0.23049054,0.29898515343666077,10.0
M,0.49148458,0.39,0.15,0.70130295,0.34870234,0.16798748,0.2141367793083191,9.0
I,0.4992362,0.39,0.125,0.58092004,0.24172404,0.117625795,0.16590343415737152,7.0
M,0.3725566,0.29501078,0.1,0.29173443,0.08871605,0.0630773,0.12539635598659515,11.0
M,0.585,0.46900475,0.155,1.0955743,0.52259195,0.23775475,0.2717699706554413,9.0
M,0.56,0.44,0.165,0.910341,0.34255868,0.17952001,0.2896222472190857,13.0
M,0.68604934,0.53,0.185,1.4996015,0.7110572,0.3572293,0.40158653259277344,10.0
M,0.60545665,0.46286377,0.16,1.1302667,0.5149388,0.24026853,0.30516254901885986,10.0
M,0.575,0.46,0.15,1.0625045,0.46683425,0.21181956,0.27295738458633423,9.0
M,0.575,0.4430313,0.15,0.94587314,0.4098295,0.21570933,0.29478976130485535,11.0
M,0.4425849,0.35173768,0.12,0.45216593,0.17762075,0.10561491,0.16583912074565887,11.0
I,0.6044824,0.46,0.155,0.9238508,0.40176085,0.22122534,0.3098927140235901,9.0
I,0.44984812,0.335,0.12,0.47467583,0.1384558,0.09979011,0.1810758411884308,13.0
F,0.7338781,0.58097047,0.20100804,2.1700706,1.000298,0.47973275,0.5691089630126953,11.0
F,0.57,0.46,0.16,1.0022551,0.48116294,0.21822284,0.28829243779182434,9.0
M,0.625,0.48481044,0.15,1.1374797,0.5259508,0.24497983,0.33371245861053467,10.0
M,0.66,0.5121104,0.16884258,1.4074172,0.67598,0.31847903,0.38738375902175903,10.0
F,0.4539255,0.355,0.115,0.49613756,0.21558683,0.10864061,0.12189210206270218,9.0
F,0.54827034,0.42,0.135,0.8303655,0.33660388,0.17284694,0.23990465700626373,10.0
M,0.6554851,0.52,0.175,1.3433206,0.63205004,0.30038303,0.3727305233478546,11.0
M,0.34732547,0.27047598,0.08178882,0.25513855,0.09480245,0.04568116,0.06956378370523453,9.0
F,0.5870561,0.45,0.16331719,0.9631818,0.46263465,0.23205693,0.2839810252189636,10.0
I,0.55670244,0.425,0.14,0.8535195,0.3765594,0.15853345,0.2043364942073822,9.0
M,0.6556184,0.525,0.165,1.4153484,0.6367672,0.30725488,0.37465327978134155,11.0
F,0.39495352,0.29976594,0.095,0.25840583,0.11771848,0.06473337,0.084603451192379,5.0
F,0.55,0.4406785,0.16,0.9359854,0.29854757,0.17251953,0.3296365737915039,26.805585861206055
M,0.44031253,0.345,0.11497361,0.3827997,0.12526134,0.07761337,0.14445319771766663,13.0
F,0.51138586,0.4,0.11763309,0.6540535,0.266437,0.13225074,0.15511777997016907,8.0
M,0.57,0.44,0.145,0.8694469,0.37492627,0.19741456,0.2816905975341797,10.0
M,0.625,0.47,0.175,1.3025455,0.4471791,0.2158306,0.39044931530952454,15.0
M,0.545,0.42,0.15,0.7973304,0.39367884,0.18112035,0.21667547523975372,9.0
M,0.43495712,0.3375535,0.105,0.37864852,0.17960659,0.08680647,0.11584341526031494,7.0
M,0.59,0.4454854,0.135,0.9267626,0.42571187,0.20389146,0.24418701231479645,9.0
M,0.41373077,0.325,0.12,0.45724115,0.1986813,0.09086004,0.14159603416919708,9.0
I,0.44,0.32526308,0.11,0.39956596,0.18656856,0.0762669,0.12220577895641327,7.0
M,0.6365093,0.5015276,0.18,1.3709074,0.5373412,0.25842604,0.4390631318092346,15.0
M,0.24137284,0.18409868,0.06212286,0.08062356,0.023485577,0.015523499,0.022762354463338852,4.0
M,0.48609623,0.38703933,0.125,0.55953205,0.28019097,0.12302525,0.14323721826076508,7.0
I,0.45265955,0.35,0.11,0.43102363,0.20358583,0.09016964,0.1198367103934288,9.0
F,0.42605338,0.31557655,0.11,0.39105392,0.11379111,0.06328416,0.12907353043556213,15.0
F,0.62,0.5,0.1686086,1.2947406,0.5419273,0.29344735,0.32926008105278015,13.0
F,0.5831627,0.445,0.155,0.9398378,0.40665793,0.20940615,0.26822835206985474,11.0
F,0.44,0.345,0.115,0.45305938,0.22000621,0.10090208,0.13531099259853363,8.0
M,0.69981366,0.54971045,0.18,1.7623422,0.81581676,0.3804082,0.45424091815948486,10.0
F,0.429302,0.335,0.11,0.35919097,0.19762328,0.09330169,0.11069316416978836,9.0
F,0.29373148,0.22144009,0.095,0.2052146,0.07498504,0.035703924,0.06997065246105194,10.0
M,0.6,0.47558814,0.16,1.1146333,0.47432712,0.22909772,0.327091246843338,13.0
I,0.476322,0.375,0.1187418,0.4354205,0.2383544,0.090104505,0.11990626901388168,8.0
M,0.575,0.45905042,0.16,1.0413085,0.40360305,0.21284962,0.3013061583042145,13.0
M,0.545,0.425,0.145,0.8078613,0.3149735,0.17366186,0.25298452377319336,12.0
F,0.47742802,0.3740171,0.13,0.5451,0.23233795,0.13072915,0.17060145735740662,11.0
F,0.545,0.4,0.16,0.85071766,0.28018326,0.15640163,0.3204912841320038,15.0
I,0.57112026,0.455,0.155,1.0228808,0.45024863,0.21249366,0.27783170342445374,9.0
M,0.645,0.52,0.18079622,1.4335637,0.57845914,0.30452636,0.44977596402168274,13.0
F,0.615,0.47,0.165,1.1348659,0.54091823,0.2528122,0.30987128615379333,10.0
M,0.6,0.47,0.17,1.1438175,0.5121982,0.27511865,0.31412091851234436,10.0
M,0.565,0.445,0.15,0.82707125,0.3858473,0.17871632,0.23676767945289612,11.0
M,0.645,0.515,0.175,1.4118673,0.5994691,0.30426773,0.3926946520805359,12.0
M,0.66242135,0.53444463,0.19,1.6096898,0.6239175,0.32526904,0.4846402704715729,15.0
I,0.4398502,0.355,0.10241669,0.41170108,0.2252552,0.07453898,0.12565942108631134,9.0
M,0.55,0.415,0.14,0.83574474,0.36352754,0.18524627,0.23495252430438995,10.0
M,0.6430268,0.5,0.175,1.3682767,0.6202512,0.3054381,0.36183831095695496,10.0
F,0.65,0.51959836,0.19,1.3935274,0.64492565,0.3187597,0.3919132649898529,11.0
I,0.19564342,0.1274208,0.049540054,0.038083307,0.018575704,0.00924292,0.01539940107613802,5.0
M,0.61,0.475,0.16,1.1854995,0.54287106,0.24158446,0.3210759460926056,11.0
M,0.61,0.47691074,0.165,1.2307069,0.5798199,0.25035298,0.32141950726509094,9.0
I,0.5697062,0.43,0.15,0.85022205,0.27892646,0.16686128,0.2833373546600342,15.0
F,0.515,0.41,0.14,0.8018277,0.3570531,0.14793974,0.19729773700237274,9.0
M,0.69008034,0.53,0.17571667,1.5727891,0.6957472,0.3483744,0.4030659794807434,11.0
I,0.27637905,0.19371332,0.0629755,0.08543565,0.04321599,0.015549187,0.0312931202352047,6.0
M,0.52,0.41,0.14,0.65819967,0.27044305,0.15014488,0.20659302175045013,11.0
M,0.61,0.48,0.16,1.012818,0.43707308,0.22873724,0.29350006580352783,13.0
I,0.25846544,0.18388017,0.064164326,0.06689709,0.036750276,0.018486045,0.027148505672812462,4.0
M,0.565,0.445,0.15,0.8546878,0.37023026,0.19635119,0.25304025411605835,11.0
M,0.46,0.36457467,0.095,0.4150439,0.20019732,0.082944125,0.10109807550907135,7.0
